(GOAL COMPLEXITY)
(STARTTERM (FUNCTIONSYMBOLS eval_fallbackSort_start))
(VAR nondef.37 nondef.45 nondef.50 nondef.55 nondef.63 nondef.68 nondef.71 nondef.8 v_154 v_191 v_225 v_50 v_H.0 v_i.0 v_i.1 v_i.10 v_i.2 v_i.3 v_i.4 v_i.5 v_i.6 v_i.7 v_i.8 v_i.9 v_k.1 v_k.2 v_k.3 v_k.4 v_k.5 v_k.6 v_k.7 v_k.8 v_nNotDone.0 v_nblock v_r.0 v_verb)
(RULES
  eval_fallbackSort_start(v_154, v_191, v_225, v_50, v_H.0, v_i.0, v_i.1, v_i.10, v_i.2, v_i.3, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb) -> Com_1(eval_fallbackSort_bb0_in(v_154, v_191, v_225, v_50, v_H.0, v_i.0, v_i.1, v_i.10, v_i.2, v_i.3, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb))
  eval_fallbackSort_bb0_in(v_154, v_191, v_225, v_50, v_H.0, v_i.0, v_i.1, v_i.10, v_i.2, v_i.3, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb) -> Com_1(eval_fallbackSort_0(v_154, v_191, v_225, v_50, v_H.0, v_i.0, v_i.1, v_i.10, v_i.2, v_i.3, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb))
  eval_fallbackSort_bb0_in(v_154, v_191, v_225, v_50, v_H.0, v_i.0, v_i.1, v_i.10, v_i.2, v_i.3, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb) -> Com_1(eval_fallbackSort_bb2_in(v_154, v_191, v_225, v_50, v_H.0, 0, v_i.1, v_i.10, v_i.2, v_i.3, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb))
  eval_fallbackSort_0(v_154, v_191, v_225, v_50, v_H.0, v_i.0, v_i.1, v_i.10, v_i.2, v_i.3, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb) -> Com_2(eval_fprintf_start(v_154, v_191, v_225, v_50, v_H.0, v_i.0, v_i.1, v_i.10, v_i.2, v_i.3, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb), eval_fallbackSort_1(v_154, v_191, v_225, v_50, v_H.0, v_i.0, v_i.1, v_i.10, v_i.2, v_i.3, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb))
  eval_fallbackSort_1(v_154, v_191, v_225, v_50, v_H.0, v_i.0, v_i.1, v_i.10, v_i.2, v_i.3, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb) -> Com_1(eval_fallbackSort_bb2_in(v_154, v_191, v_225, v_50, v_H.0, 0, v_i.1, v_i.10, v_i.2, v_i.3, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb))
  eval_fallbackSort_bb2_in(v_154, v_191, v_225, v_50, v_H.0, v_i.0, v_i.1, v_i.10, v_i.2, v_i.3, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb) -> Com_1(eval_fallbackSort_bb2_in(v_154, v_191, v_225, v_50, v_H.0, v_i.0 + 1, v_i.1, v_i.10, v_i.2, v_i.3, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb)) :|: v_i.0 < 257
  eval_fallbackSort_bb2_in(v_154, v_191, v_225, v_50, v_H.0, v_i.0, v_i.1, v_i.10, v_i.2, v_i.3, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb) -> Com_1(eval_fallbackSort_bb4_in(v_154, v_191, v_225, v_50, v_H.0, v_i.0, 0, v_i.10, v_i.2, v_i.3, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb)) :|: v_i.0 >= 257
  eval_fallbackSort_bb4_in(v_154, v_191, v_225, v_50, v_H.0, v_i.0, v_i.1, v_i.10, v_i.2, v_i.3, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb) -> Com_1(eval_fallbackSort_bb4_in(v_154, v_191, v_225, v_50, v_H.0, v_i.0, v_i.1 + 1, v_i.10, v_i.2, v_i.3, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb)) :|: v_i.1 < v_nblock
  eval_fallbackSort_bb4_in(v_154, v_191, v_225, v_50, v_H.0, v_i.0, v_i.1, v_i.10, v_i.2, v_i.3, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb) -> Com_1(eval_fallbackSort_bb6_in(v_154, v_191, v_225, v_50, v_H.0, v_i.0, v_i.1, v_i.10, 0, v_i.3, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb)) :|: v_i.1 >= v_nblock
  eval_fallbackSort_bb6_in(v_154, v_191, v_225, v_50, v_H.0, v_i.0, v_i.1, v_i.10, v_i.2, v_i.3, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb) -> Com_1(eval_fallbackSort_bb6_in(v_154, v_191, v_225, v_50, v_H.0, v_i.0, v_i.1, v_i.10, v_i.2 + 1, v_i.3, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb)) :|: v_i.2 < 256
  eval_fallbackSort_bb6_in(v_154, v_191, v_225, v_50, v_H.0, v_i.0, v_i.1, v_i.10, v_i.2, v_i.3, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb) -> Com_1(eval_fallbackSort_bb8_in(v_154, v_191, v_225, v_50, v_H.0, v_i.0, v_i.1, v_i.10, v_i.2, 1, v_i.4, v_i.5, v_i.6, v_i.7, v_i.8, v_i.9, v_k.1, v_k.2, v_k.3, v_k.4, v_k.5, v_k.6, v_k.7, v_k.8, v_nNotDone.0, v_nblock, v_r.0, v_verb)) :|: v_i.2 >= 256
