(GOAL COMPLEXITY)
(STARTTERM (FUNCTIONSYMBOLS eval_compress_output_start))
(VAR nondef.0 nondef.11 nondef.12 nondef.5 nondef.6 nondef.7 nondef.8 nondef.9 v_MCU_col_num.0 v_ci.0 v_ci.1 v_xindex.0 v_yindex.0 v_yoffset.0)
(RULES
  eval_compress_output_start(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_1(eval_compress_output_bb0_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0))
  eval_compress_output_bb0_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_1(eval_compress_output_bb1_in(v_MCU_col_num.0, 0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0))
  eval_compress_output_bb1_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_1(eval_compress_output_9(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0)) :|: v_ci.0 < nondef.0
  eval_compress_output_bb1_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_1(eval_compress_output_bb4_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, nondef.5)) :|: v_ci.0 >= nondef.0
  eval_compress_output_9(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_1(eval_compress_output_10(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0))
  eval_compress_output_10(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_1(eval_compress_output_bb1_in(v_MCU_col_num.0, v_ci.0 + 1, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0))
  eval_compress_output_bb4_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_1(eval_compress_output_bb6_in(nondef.7, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0)) :|: v_yoffset.0 < nondef.6
  eval_compress_output_bb4_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_1(eval_compress_output_59(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0)) :|: v_yoffset.0 >= nondef.6
  eval_compress_output_bb6_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_1(eval_compress_output_bb7_in(v_MCU_col_num.0, v_ci.0, 0, v_xindex.0, v_yindex.0, v_yoffset.0)) :|: v_MCU_col_num.0 < nondef.8
  eval_compress_output_bb6_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_1(eval_compress_output_bb4_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0 + 1)) :|: v_MCU_col_num.0 >= nondef.8
  eval_compress_output_bb7_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, v_yindex.0, v_yoffset.0) -> Com_1(eval_compress_output_bb9_in(v_MCU_col_num.0, v_ci.0, v_ci.1, v_xindex.0, 0, v_yoffset.0)) :|: v_ci.1 < nondef.9
