(GOAL COMPLEXITY)
(STARTTERM (FUNCTIONSYMBOLS eval_mem_mono_copy_mono_start))
(VAR nondef.11 nondef.2 nondef.4 v_.111 v_.15 v_.17 v_.19 v_.2 v_.21 v_.212 v_.22 v_.3 v_.4 v_.5 v_63 v_count.0 v_count5.0 v_count6.0 v_count8.0 v_count8.1 v_count8.2 v_h v_id v_one v_sourcex v_sraster v_w v_x v_y v_zero)
(RULES
  eval_mem_mono_copy_mono_start(v_.111, v_.15, v_.17, v_.19, v_.2, v_.21, v_.212, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero) -> Com_1(eval_mem_mono_copy_mono_bb0_in(v_.111, v_.15, v_.17, v_.19, v_.2, v_.21, v_.212, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero))
  eval_mem_mono_copy_mono_bb0_in(v_.111, v_.15, v_.17, v_.19, v_.2, v_.21, v_.212, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero) -> Com_1(eval_mem_mono_copy_mono_bb3_in(v_h + v_y, 0, 0, v_w + v_x, v_.2, v_.21, v_.212, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero))
  eval_mem_mono_copy_mono_bb0_in(v_.111, v_.15, v_.17, v_.19, v_.2, v_.21, v_.212, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero) -> Com_1(eval_mem_mono_copy_mono_bb3_in(v_h, 0, v_y, v_w + v_x, v_.2, v_.21, v_.212, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero))
  eval_mem_mono_copy_mono_bb0_in(v_.111, v_.15, v_.17, v_.19, v_.2, v_.21, v_.212, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero) -> Com_1(eval_mem_mono_copy_mono_bb3_in(v_h, v_x, v_y, v_w, v_.2, v_.21, v_.212, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero))
  eval_mem_mono_copy_mono_bb3_in(v_.111, v_.15, v_.17, v_.19, v_.2, v_.21, v_.212, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero) -> Com_1(eval_mem_mono_copy_mono_bb5_in(v_.111, v_.15, v_.17, v_.19, nondef.2 - v_.15, v_.21, v_.212, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero))
  eval_mem_mono_copy_mono_bb3_in(v_.111, v_.15, v_.17, v_.19, v_.2, v_.21, v_.212, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero) -> Com_1(eval_mem_mono_copy_mono_bb5_in(v_.111, v_.15, v_.17, v_.19, v_.19, v_.21, v_.212, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero))
  eval_mem_mono_copy_mono_bb5_in(v_.111, v_.15, v_.17, v_.19, v_.2, v_.21, v_.212, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero) -> Com_1(eval_mem_mono_copy_mono_bb7_in(v_.111, v_.15, v_.17, v_.19, v_.2, v_.21, nondef.4 - v_.17, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero))
  eval_mem_mono_copy_mono_bb5_in(v_.111, v_.15, v_.17, v_.19, v_.2, v_.21, v_.212, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero) -> Com_1(eval_mem_mono_copy_mono_bb7_in(v_.111, v_.15, v_.17, v_.19, v_.2, v_.21, v_.111, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero))
  eval_mem_mono_copy_mono_bb7_in(v_.111, v_.15, v_.17, v_.19, v_.2, v_.21, v_.212, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero) -> Com_1(eval_mem_mono_copy_mono_bb203_in(v_.111, v_.15, v_.17, v_.19, v_.2, v_.21, v_.212, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero))
  eval_mem_mono_copy_mono_bb7_in(v_.111, v_.15, v_.17, v_.19, v_.2, v_.21, v_.212, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero) -> Com_1(eval_mem_mono_copy_mono_34(v_.111, v_.15, v_.17, v_.19, v_.2, v_.21, v_.212, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero))
  eval_mem_mono_copy_mono_34(v_.111, v_.15, v_.17, v_.19, v_.2, v_.21, v_.212, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero) -> Com_2(eval_llvm.memcpy.p0i8.p0i8.i64_start(v_.111, v_.15, v_.17, v_.19, v_.2, v_.21, v_.212, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero), eval_mem_mono_copy_mono_35(v_.111, v_.15, v_.17, v_.19, v_.2, v_.21, v_.212, v_.22, v_.3, v_.4, v_.5, v_63, v_count.0, v_count5.0, v_count6.0, v_count8.0, v_count8.1, v_count8.2, v_h, v_id, v_one, v_sourcex, v_sraster, v_w, v_x, v_y, v_zero))
