(GOAL COMPLEXITY)
(STARTTERM (FUNCTIONSYMBOLS eval_obj_eq_start))
(VAR nondef.18 nondef.19 nondef.26 nondef.27 nondef.28 nondef.29 nondef.30 nondef.33 nondef.36 v_250 v_257 v_258 v_275 v_281 v_287 v_293)
(RULES
  eval_obj_eq_start(v_250, v_257, v_258, v_275, v_281, v_287, v_293) -> Com_1(eval_obj_eq_bb0_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293))
  eval_obj_eq_bb0_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293) -> Com_1(eval_obj_eq_bb4_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293))
  eval_obj_eq_bb0_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293) -> Com_1(eval_obj_eq_NewDefault_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293))
  eval_obj_eq_bb0_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293) -> Com_1(eval_obj_eq_18(v_250, v_257, v_258, v_275, v_281, v_287, v_293))
  eval_obj_eq_bb0_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293) -> Com_1(eval_obj_eq_bb54_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293))
  eval_obj_eq_bb0_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293) -> Com_1(eval_obj_eq_bb9_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293))
  eval_obj_eq_bb0_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293) -> Com_1(eval_obj_eq_bb12_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293))
  eval_obj_eq_bb0_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293) -> Com_1(eval_obj_eq_38(v_250, v_257, v_258, v_275, v_281, v_287, v_293))
  eval_obj_eq_bb0_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293) -> Com_1(eval_obj_eq_bb20_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293))
  eval_obj_eq_bb4_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293) -> Com_1(eval_obj_eq_bb54_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293))
  eval_obj_eq_18(v_250, v_257, v_258, v_275, v_281, v_287, v_293) -> Com_2(eval_name_string_ref_start(v_250, v_257, v_258, v_275, v_281, v_287, v_293), eval_obj_eq_19(v_250, v_257, v_258, v_275, v_281, v_287, v_293))
  eval_obj_eq_19(v_250, v_257, v_258, v_275, v_281, v_287, v_293) -> Com_1(eval_obj_eq_bb20_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293))
  eval_obj_eq_bb9_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293) -> Com_1(eval_obj_eq_bb54_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293))
  eval_obj_eq_bb12_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293) -> Com_1(eval_obj_eq_bb54_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293))
  eval_obj_eq_38(v_250, v_257, v_258, v_275, v_281, v_287, v_293) -> Com_2(eval_name_string_ref_start(v_250, v_257, v_258, v_275, v_281, v_287, v_293), eval_obj_eq_39(v_250, v_257, v_258, v_275, v_281, v_287, v_293))
  eval_obj_eq_39(v_250, v_257, v_258, v_275, v_281, v_287, v_293) -> Com_1(eval_obj_eq_bb20_in(v_250, v_257, v_258, v_275, v_281, v_287, v_293))
