(GOAL COMPLEXITY)
(STARTTERM (FUNCTIONSYMBOLS eval_s_DCTD_process_start))
(VAR nondef.27 nondef.28 nondef.30 nondef.35 nondef.36 v_209 v_218 v_last)
(RULES
  eval_s_DCTD_process_start(v_209, v_218, v_last) -> Com_1(eval_s_DCTD_process_bb0_in(v_209, v_218, v_last))
  eval_s_DCTD_process_bb0_in(v_209, v_218, v_last) -> Com_1(eval_s_DCTD_process_bb4_in(v_209, v_218, v_last))
  eval_s_DCTD_process_bb0_in(v_209, v_218, v_last) -> Com_1(eval_s_DCTD_process_bb56_in(v_209, v_218, v_last))
  eval_s_DCTD_process_bb0_in(v_209, v_218, v_last) -> Com_1(eval_s_DCTD_process_bb5_in(v_209, v_218, v_last))
  eval_s_DCTD_process_bb4_in(v_209, v_218, v_last) -> Com_1(eval_s_DCTD_process_bb5_in(v_209, v_218, v_last))
  eval_s_DCTD_process_bb5_in(v_209, v_218, v_last) -> Com_1(eval_s_DCTD_process_bb7_in(v_209, v_218, v_last))
  eval_s_DCTD_process_bb5_in(v_209, v_218, v_last) -> Com_1(eval_s_DCTD_process_NewDefault_in(v_209, v_218, v_last))
  eval_s_DCTD_process_bb5_in(v_209, v_218, v_last) -> Com_1(eval_s_DCTD_process_bb11_in(v_209, v_218, v_last))
  eval_s_DCTD_process_bb5_in(v_209, v_218, v_last) -> Com_1(eval_s_DCTD_process_bb22_in(v_209, v_218, v_last))
  eval_s_DCTD_process_bb5_in(v_209, v_218, v_last) -> Com_1(eval_s_DCTD_process_bb30_in(v_209, v_218, v_last))
  eval_s_DCTD_process_bb5_in(v_209, v_218, v_last) -> Com_1(eval_s_DCTD_process_bb49_in(v_209, v_218, v_last))
  eval_s_DCTD_process_bb5_in(v_209, v_218, v_last) -> Com_1(eval_s_DCTD_process_bb56_in(v_209, v_218, v_last))
  eval_s_DCTD_process_bb7_in(v_209, v_218, v_last) -> Com_1(eval_s_DCTD_process_bb7_in(v_209, v_218, v_last))
  eval_s_DCTD_process_bb7_in(v_209, v_218, v_last) -> Com_1(eval_s_DCTD_process_.critedge_in(v_209, v_218, v_last))
  eval_s_DCTD_process_.critedge_in(v_209, v_218, v_last) -> Com_1(eval_s_DCTD_process_bb56_in(v_209, v_218, v_last))
  eval_s_DCTD_process_.critedge_in(v_209, v_218, v_last) -> Com_1(eval_s_DCTD_process_bb11_in(v_209, v_218, v_last))
