(GOAL COMPLEXITY)
(STARTTERM (FUNCTIONSYMBOLS eval_s_RLE_process_start))
(VAR nondef.0 nondef.10 nondef.12 nondef.2 nondef.21 nondef.25 nondef.32 nondef.33 nondef.36 nondef.37 nondef.38 v_119 v_14 v_177 v_50 v_count.2 v_last v_rleft.0 v_rleft.1 v_rleft.3)
(RULES
  eval_s_RLE_process_start(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3) -> Com_1(eval_s_RLE_process_bb0_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3))
  eval_s_RLE_process_bb0_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3) -> Com_1(eval_s_RLE_process_bb1_in(v_119, nondef.2, v_177, v_50, v_count.2, v_last, nondef.0, v_rleft.1, v_rleft.3))
  eval_s_RLE_process_bb1_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3) -> Com_1(eval_s_RLE_process_bb4_in(v_119, v_14, v_177, v_50, v_rleft.0, v_last, v_rleft.0, v_rleft.1, v_rleft.3))
  eval_s_RLE_process_bb1_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3) -> Com_1(eval_s_RLE_process_bb4_in(v_119, v_14, v_177, v_50, v_14 - nondef.10, v_last, v_rleft.0, v_rleft.1, v_rleft.3))
  eval_s_RLE_process_bb1_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3) -> Com_1(eval_s_RLE_process_bb8_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.0))
  eval_s_RLE_process_bb4_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3) -> Com_1(eval_s_RLE_process_25(v_119, v_14, v_177, v_count.2, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3))
  eval_s_RLE_process_25(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3) -> Com_2(eval_llvm.memcpy.p0i8.p0i8.i64_start(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3), eval_s_RLE_process_26(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3))
  eval_s_RLE_process_26(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3) -> Com_1(eval_s_RLE_process_bb6_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, nondef.12, v_rleft.3))
  eval_s_RLE_process_26(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3) -> Com_1(eval_s_RLE_process_bb6_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.0 - v_count.2, v_rleft.3))
  eval_s_RLE_process_bb6_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3) -> Com_1(eval_s_RLE_process_bb46_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3))
  eval_s_RLE_process_bb6_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3) -> Com_1(eval_s_RLE_process_bb8_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.1))
  eval_s_RLE_process_bb8_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3) -> Com_1(eval_s_RLE_process_bb11_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3))
  eval_s_RLE_process_bb8_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3) -> Com_1(eval_s_RLE_process_bb41_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3))
  eval_s_RLE_process_bb11_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3) -> Com_1(eval_s_RLE_process_bb41_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3))
  eval_s_RLE_process_bb11_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3) -> Com_1(eval_s_RLE_process_bb21_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3))
  eval_s_RLE_process_bb11_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3) -> Com_1(eval_s_RLE_process_bb26_in(nondef.21, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3))
  eval_s_RLE_process_bb11_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3) -> Com_1(eval_s_RLE_process_bb29_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3))
  eval_s_RLE_process_bb21_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3) -> Com_1(eval_s_RLE_process_bb39_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3))
  eval_s_RLE_process_bb26_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3) -> Com_1(eval_s_RLE_process_bb26_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3)) :|: nondef.25 = v_119
  eval_s_RLE_process_bb26_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3) -> Com_1(eval_s_RLE_process_.critedge_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3)) :|: nondef.25 < v_119
  eval_s_RLE_process_bb26_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3) -> Com_1(eval_s_RLE_process_.critedge_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3)) :|: nondef.25 > v_119
  eval_s_RLE_process_bb26_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3) -> Com_1(eval_s_RLE_process_.critedge_in(v_119, v_14, v_177, v_50, v_count.2, v_last, v_rleft.0, v_rleft.1, v_rleft.3))
