(GOAL COMPLEXITY)
(STARTTERM (FUNCTIONSYMBOLS eval_adpcm_decoder_start))
(VAR v_.0 v_19 v_bufferstep.0 v_len)
(RULES
  eval_adpcm_decoder_start(v_.0, v_19, v_bufferstep.0, v_len) -> Com_1(eval_adpcm_decoder_bb0_in(v_.0, v_19, v_bufferstep.0, v_len))
  eval_adpcm_decoder_bb0_in(v_.0, v_19, v_bufferstep.0, v_len) -> Com_1(eval_adpcm_decoder_bb1_in(v_len, v_19, 0, v_len))
  eval_adpcm_decoder_bb1_in(v_.0, v_19, v_bufferstep.0, v_len) -> Com_1(eval_adpcm_decoder_bb5_in(v_.0, v_19, v_bufferstep.0, v_len)) :|: v_.0 > 0
  eval_adpcm_decoder_bb1_in(v_.0, v_19, v_bufferstep.0, v_len) -> Com_1(eval_adpcm_decoder_stop(v_.0, v_19, v_bufferstep.0, v_len)) :|: v_.0 <= 0
  eval_adpcm_decoder_bb5_in(v_.0, v_19, v_bufferstep.0, v_len) -> Com_1(eval_adpcm_decoder_bb7_in(v_.0, 0, v_bufferstep.0, v_len)) :|: v_bufferstep.0 < 0
  eval_adpcm_decoder_bb5_in(v_.0, v_19, v_bufferstep.0, v_len) -> Com_1(eval_adpcm_decoder_bb7_in(v_.0, 0, v_bufferstep.0, v_len)) :|: v_bufferstep.0 > 0
  eval_adpcm_decoder_bb5_in(v_.0, v_19, v_bufferstep.0, v_len) -> Com_1(eval_adpcm_decoder_bb7_in(v_.0, 1, v_bufferstep.0, v_len)) :|: v_bufferstep.0 = 0
  eval_adpcm_decoder_bb7_in(v_.0, v_19, v_bufferstep.0, v_len) -> Com_1(eval_adpcm_decoder_bb9_in(v_.0, v_19, v_bufferstep.0, v_len))
  eval_adpcm_decoder_bb9_in(v_.0, v_19, v_bufferstep.0, v_len) -> Com_1(eval_adpcm_decoder_bb11_in(v_.0, v_19, v_bufferstep.0, v_len))
  eval_adpcm_decoder_bb11_in(v_.0, v_19, v_bufferstep.0, v_len) -> Com_1(eval_adpcm_decoder_bb1_in(v_.0 - 1, v_19, v_19, v_len))
)
